Resultados de la Detección de Pupilas
-------------------------------------
Fecha y Hora: 2025-02-17 11:04:29
Tiempo total de ejecución: 2 minutos y 54 segundos
Total de Parpadeos Detectados: 0
Interrupciones Detectadas: 1
Fijaciones Detectadas: 0
-------------------------------------

Posiciones de la Pupila:
  219: X = 369, Y = 260
  220: X = 369, Y = 260
  221: X = 369, Y = 259
  222: X = 369, Y = 259
  223: X = 369, Y = 259
  224: X = 370, Y = 260
  225: X = 369, Y = 259
  226: X = 369, Y = 259
  227: X = 369, Y = 259
  228: X = 369, Y = 259
  229: X = 369, Y = 259
  230: X = 368, Y = 259
  231: X = 368, Y = 259
  232: X = 367, Y = 259
  233: X = 367, Y = 259
  234: X = 362, Y = 260
  235: X = 362, Y = 260
  236: X = 362, Y = 259
  237: X = 362, Y = 259
  238: X = 362, Y = 259
  239: X = 362, Y = 259
  240: X = 362, Y = 260
  241: X = 362, Y = 260
  242: X = 362, Y = 259
  243: X = 362, Y = 259
  244: X = 362, Y = 259
  245: X = 367, Y = 259
  246: X = 367, Y = 259
  247: X = 367, Y = 259
  248: X = 368, Y = 258
  249: X = 368, Y = 258
  250: X = 368, Y = 258
  251: X = 368, Y = 258
  252: X = 367, Y = 258
  253: X = 367, Y = 258
  254: X = 368, Y = 259
  255: X = 368, Y = 259
  256: X = 368, Y = 259
  257: X = 368, Y = 259
  258: X = 367, Y = 257
  259: X = 367, Y = 257
  260: X = 367, Y = 257
  261: X = 367, Y = 257
  262: X = 367, Y = 256
  263: X = 367, Y = 256
  264: X = 367, Y = 256
  265: X = 366, Y = 257
  266: X = 366, Y = 257
  267: X = 366, Y = 256
  268: X = 366, Y = 256
  269: X = 364, Y = 258
  270: X = 364, Y = 258
  271: X = 363, Y = 257
  272: X = 363, Y = 257
  273: X = 363, Y = 258
  274: X = 363, Y = 258
  275: X = 363, Y = 258
  276: X = 363, Y = 258
  277: X = 363, Y = 257
  278: X = 363, Y = 257
  279: X = 362, Y = 257
  280: X = 362, Y = 257
  281: X = 362, Y = 257
  282: X = 362, Y = 257
  283: X = 362, Y = 257
  284: X = 362, Y = 256
  285: X = 362, Y = 256
  286: X = 361, Y = 257
  287: X = 361, Y = 257
  288: X = 361, Y = 256
  289: X = 361, Y = 256
  290: X = 361, Y = 255
  291: X = 361, Y = 255
  292: X = 361, Y = 256
  293: X = 361, Y = 256
  294: X = 375, Y = 256
  295: X = 375, Y = 256
  296: X = 375, Y = 256
  297: X = 375, Y = 258
  298: X = 375, Y = 258
  299: X = 376, Y = 257
  300: X = 377, Y = 259
  301: X = 377, Y = 259
  302: X = 377, Y = 259
  303: X = 378, Y = 263
  304: X = 378, Y = 263
  305: X = 377, Y = 267
  306: X = 377, Y = 267
  307: X = 374, Y = 271
  308: X = 374, Y = 271
  309: X = 372, Y = 273
  310: X = 372, Y = 273
  311: X = 371, Y = 258
  312: X = 371, Y = 258
  313: X = 370, Y = 258
  314: X = 370, Y = 258
  315: X = 368, Y = 259
  316: X = 368, Y = 259
